"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
634819,"August 20, 2016",Alabama,Citronelle,"Jim Platt Road",0,5,0,0,1,N/A
632747,"August 18, 2016",Connecticut,Waterbury,"402 E Main Street",4,0,0,0,0,N/A
632753,"August 17, 2016",California,Oakland,"Mandela Parkway",4,0,0,0,0,N/A
630007,"August 14, 2016",Virginia,Norfolk,"1600 block of Selden Avenue",4,0,0,0,0,N/A
629415,"August 14, 2016",Minnesota,Minneapolis,"1717 Plymouth Ave N",5,0,0,0,0,N/A
629663,"August 13, 2016",California,"Los Angeles","6300 block of 11th Avenue",4,0,0,0,0,N/A
628570,"August 13, 2016",Wisconsin,Milwaukee,"4001 West Fond Du Lac Ave",2,2,0,0,0,N/A
628623,"August 13, 2016","New York","Richmond Hill","Jamaica Ave and 105th St",4,0,0,0,2,N/A
628635,"August 13, 2016",Missouri,Joplin,"1800 Connecticut Ave",4,0,0,0,1,N/A
628178,"August 12, 2016",Florida,Jacksonville,"100 block of West 38th Street",3,1,0,0,1,N/A
627519,"August 12, 2016",Texas,Dallas,"10921 Estate Ln",3,1,0,0,1,N/A
627757,"August 11, 2016",Pennsylvania,Philadelphia,"500 block of E Ashmead St",4,0,0,0,0,N/A
626153,"August 10, 2016",Illinois,Evanston,"Foster Street and Jackson Avenue",4,0,0,0,0,N/A
626960,"August 10, 2016",California,Sacramento,"4000 Green Tree Drive",3,1,0,0,0,N/A
624273,"August 8, 2016",Florida,Jacksonville,"1214 Labelle St",7,0,0,0,0,N/A
625735,"August 8, 2016","New Mexico",Albuquerque,"341 General Marshall Street NE",2,2,0,0,3,N/A
624156,"August 7, 2016",California,"Los Angeles","5925 South Figueroa Street",3,1,0,0,0,N/A
623523,"August 7, 2016",Colorado,Arvada,"5400 block of Sheridan Boulevard",2,2,0,0,2,N/A
624046,"August 7, 2016",Mississippi,Vicksburg,"4460 Clay St",3,1,0,0,3,N/A
623439,"August 7, 2016",Illinois,Chicago,"100 block of South Springfield",4,0,0,0,0,N/A
623195,"August 6, 2016",Pennsylvania,"Reading (Sinking Spring)","51 Winding Brook Drive",0,4,0,1,0,N/A
624057,"August 5, 2016",Michigan,Pontiac,"70 block of Thorpe Street",3,1,0,0,2,N/A
622500,"August 5, 2016",California,Perris,"21600 block of Rider St",2,2,0,0,0,N/A
621232,"August 4, 2016",Tennessee,Memphis,"Ayers Street and Griffith Avenue",4,0,0,0,0,N/A
620247,"August 3, 2016",Georgia,Decatur,"4110 Glenwood Road",3,1,0,0,0,N/A
619708,"August 2, 2016",Florida,"Hollywood (West Park)","5700 block of Hallandale Beach Blvd",4,0,0,0,0,N/A
619408,"August 1, 2016",Indiana,Evansville,"South Bedford Avenue",4,0,0,0,1,N/A
